timestamp,label,ax,ay,az,vx,vy,vz,rms,status
2026-05-02T20:46:35.657,slight_unbalance,-0.917,0.35,0.068,,,,0.0,CALIBRATING
2026-05-02T20:46:36.157,slight_unbalance,-0.913,0.353,0.073,,,,0.0,CALIBRATING
2026-05-02T20:46:36.657,slight_unbalance,-0.908,0.346,0.043,,,,0.0,CALIBRATING
2026-05-02T20:46:37.157,slight_unbalance,-0.917,0.325,0.03,,,,0.0,CALIBRATING
2026-05-02T20:46:37.658,slight_unbalance,-0.909,0.352,0.051,-0.001,0.001,-0.011,0.058,NORMAL
2026-05-02T20:46:38.158,slight_unbalance,-0.914,0.366,0.071,-0.006,0.012,0.003,0.047,NORMAL
2026-05-02T20:46:38.658,slight_unbalance,-0.842,0.511,0.007,0.064,0.15,-0.06,0.063,NORMAL
2026-05-02T20:46:39.158,slight_unbalance,-0.809,0.48,0.048,0.096,0.122,-0.016,0.079,NORMAL
2026-05-02T20:46:39.658,slight_unbalance,-0.83,0.527,0.122,0.082,0.159,0.055,0.099,WARNING
2026-05-02T20:46:40.158,slight_unbalance,-0.904,0.377,0.115,0.01,0.016,0.041,0.094,WARNING
2026-05-02T20:46:40.658,slight_unbalance,-0.913,0.348,0.076,-0.001,-0.011,-0.001,0.088,WARNING
2026-05-02T20:46:41.158,slight_unbalance,-0.904,0.352,0.109,0.008,-0.004,0.029,0.088,WARNING
2026-05-02T20:46:41.658,slight_unbalance,-0.896,0.339,0.106,0.014,-0.013,0.025,0.087,WARNING
2026-05-02T20:46:42.158,slight_unbalance,-0.918,0.329,0.078,-0.008,-0.022,-0.006,0.075,NORMAL
2026-05-02T20:46:42.658,slight_unbalance,-0.944,0.324,0.072,-0.035,-0.025,-0.012,0.054,NORMAL
2026-05-02T20:46:43.157,slight_unbalance,-0.917,0.387,0.107,-0.007,0.037,0.021,0.028,NORMAL
2026-05-02T20:46:43.657,slight_unbalance,-0.912,0.352,0.08,-0.003,0.002,-0.007,0.029,NORMAL
