timestamp,ax,ay,az,vx,vy,vz,rms,status
2026-05-02T19:36:02.199,0.337,0.007,-0.928,0.016,0.002,0.008,0.029,NORMAL
2026-05-02T19:36:02.699,0.343,0.022,-0.962,0.017,0.016,-0.026,0.028,NORMAL
2026-05-02T19:36:03.199,0.332,0.019,-0.911,0.004,0.015,0.024,0.026,NORMAL
2026-05-02T19:36:03.699,0.328,0.001,-0.876,-0.001,-0.002,0.054,0.029,NORMAL
2026-05-02T19:36:04.199,0.345,-0.001,-0.937,0.016,-0.005,-0.007,0.028,NORMAL
2026-05-02T19:36:04.699,0.314,0.001,-0.945,-0.015,-0.003,-0.015,0.027,NORMAL
2026-05-02T19:36:05.199,0.35,-0.015,-0.962,0.017,-0.017,-0.03,0.028,NORMAL
2026-05-02T19:36:05.699,0.339,0.022,-0.942,0.004,0.018,-0.008,0.029,NORMAL
2026-05-02T19:36:06.199,0.336,-0.019,-0.912,0.0,-0.022,0.022,0.029,NORMAL
2026-05-02T19:36:06.699,0.35,0.006,-0.94,0.012,0.002,-0.005,0.028,NORMAL
2026-05-02T19:36:07.199,0.323,0.019,-0.935,-0.015,0.014,0.001,0.028,NORMAL
2026-05-02T19:36:07.698,0.264,-0.03,-0.909,-0.067,-0.035,0.023,0.032,NORMAL
2026-05-02T19:36:08.199,0.325,-0.01,-0.926,-0.007,-0.015,0.006,0.032,NORMAL
2026-05-02T19:36:08.698,0.348,0.021,-0.953,0.01,0.014,-0.023,0.034,NORMAL
2026-05-02T19:36:09.198,0.351,0.016,-0.929,0.011,0.01,0.002,0.032,NORMAL
2026-05-02T19:36:09.699,0.359,0.012,-0.929,0.019,0.006,0.001,0.032,NORMAL
2026-05-02T19:36:10.199,0.337,0.01,-0.944,-0.004,0.004,-0.013,0.031,NORMAL
2026-05-02T19:36:10.699,0.337,0.0,-0.931,-0.005,-0.005,0.0,0.03,NORMAL
2026-05-02T19:36:11.198,0.347,-0.005,-0.876,0.005,-0.009,0.054,0.029,NORMAL
2026-05-02T19:36:11.698,0.337,0.005,-0.95,-0.006,0.001,-0.021,0.026,NORMAL
2026-05-02T19:36:12.198,0.329,0.005,-0.935,-0.014,0.001,-0.006,0.025,NORMAL
2026-05-02T19:36:12.698,0.36,-0.005,-0.917,0.014,-0.009,0.012,0.026,NORMAL
2026-05-02T19:36:13.198,0.331,-0.011,-0.969,-0.014,-0.017,-0.038,0.026,NORMAL
2026-05-02T19:36:13.698,0.361,0.025,-0.935,0.014,0.018,-0.005,0.027,NORMAL
2026-05-02T19:36:14.198,0.339,-0.004,-0.921,-0.004,-0.011,0.007,0.026,NORMAL
2026-05-02T19:36:14.697,0.359,0.025,-0.922,0.014,0.017,0.006,0.026,NORMAL
2026-05-02T19:36:15.198,0.355,0.001,-0.937,0.009,-0.007,-0.006,0.026,NORMAL
2026-05-02T19:36:15.698,0.347,-0.004,-0.947,-0.001,-0.01,-0.014,0.025,NORMAL
2026-05-02T19:36:16.198,0.337,0.013,-0.916,-0.01,0.007,0.017,0.026,NORMAL
2026-05-02T19:36:16.698,0.36,0.016,-0.917,0.012,0.01,0.015,0.024,NORMAL
2026-05-02T19:36:17.198,0.326,0.003,-0.944,-0.022,-0.002,-0.012,0.021,NORMAL
2026-05-02T19:36:17.698,0.337,-0.001,-0.95,-0.009,-0.007,-0.018,0.021,NORMAL
2026-05-02T19:36:18.198,0.337,0.008,-0.924,-0.009,0.002,0.008,0.02,NORMAL
2026-05-02T19:36:18.698,0.365,0.003,-0.922,0.016,-0.002,0.008,0.023,NORMAL
2026-05-02T19:36:19.198,0.363,-0.005,-0.96,0.014,-0.01,-0.031,0.025,NORMAL
2026-05-02T19:36:19.697,0.354,0.015,-0.919,0.009,0.008,0.009,0.025,NORMAL
2026-05-02T19:36:20.198,0.348,-0.01,-0.942,0.005,-0.015,-0.014,0.027,NORMAL
2026-05-02T19:36:20.697,0.359,0.011,-0.927,0.016,0.006,0.002,0.027,NORMAL
2026-05-02T19:36:21.198,0.333,-0.011,-0.935,-0.01,-0.017,-0.006,0.027,NORMAL
2026-05-02T19:36:21.697,0.347,0.016,-0.917,0.003,0.01,0.012,0.027,NORMAL
2026-05-02T19:36:22.198,0.299,0.004,-0.929,-0.045,0.0,0.001,0.027,NORMAL
2026-05-02T19:36:22.698,0.293,-0.008,-0.925,-0.046,-0.011,0.007,0.028,NORMAL
2026-05-02T19:36:23.198,0.346,0.013,-0.917,0.007,0.009,0.014,0.031,NORMAL
2026-05-02T19:36:23.698,0.331,-0.01,-0.967,-0.01,-0.014,-0.034,0.033,NORMAL
2026-05-02T19:36:24.197,0.305,0.014,-0.921,-0.032,0.012,0.01,0.036,NORMAL
2026-05-02T19:36:24.697,0.351,0.005,-0.923,0.015,0.003,0.007,0.036,NORMAL
2026-05-02T19:36:25.198,0.364,-0.002,-0.949,0.027,-0.002,-0.02,0.037,NORMAL
2026-05-02T19:36:25.697,0.356,-0.002,-0.956,0.02,-0.001,-0.027,0.038,NORMAL
2026-05-02T19:36:26.197,0.347,0.013,-0.921,0.014,0.013,0.005,0.035,NORMAL
2026-05-02T19:36:26.697,0.33,0.009,-0.943,-0.003,0.008,-0.014,0.037,NORMAL
2026-05-02T19:36:27.197,0.331,-0.019,-0.905,-0.002,-0.019,0.022,0.034,NORMAL
2026-05-02T19:36:27.697,0.306,-0.023,-0.958,-0.027,-0.023,-0.027,0.034,NORMAL
2026-05-02T19:36:28.196,0.334,0.002,-0.918,0.003,0.0,0.012,0.034,NORMAL
2026-05-02T19:36:28.697,0.314,0.003,-0.932,-0.017,-0.001,-0.001,0.032,NORMAL
2026-05-02T19:36:29.197,0.339,0.009,-0.922,0.006,0.006,0.01,0.031,NORMAL
2026-05-02T19:36:29.697,0.307,0.002,-0.923,-0.025,-0.001,0.011,0.029,NORMAL
2026-05-02T19:36:30.197,0.307,0.014,-0.944,-0.026,0.01,-0.009,0.028,NORMAL
2026-05-02T19:36:30.696,0.313,0.01,-0.92,-0.021,0.006,0.014,0.028,NORMAL
2026-05-02T19:36:31.197,0.37,-0.001,-0.933,0.036,-0.006,-0.001,0.028,NORMAL
2026-05-02T19:36:31.697,0.338,-0.003,-0.909,0.006,-0.006,0.024,0.028,NORMAL
2026-05-02T19:36:32.197,0.32,-0.013,-0.925,-0.011,-0.017,0.007,0.026,NORMAL
2026-05-02T19:36:32.696,0.317,0.02,-0.922,-0.016,0.014,0.009,0.027,NORMAL
2026-05-02T19:36:33.196,0.34,0.004,-0.917,0.007,0.001,0.013,0.028,NORMAL
2026-05-02T19:36:33.697,0.328,0.003,-0.938,-0.005,0.0,-0.008,0.027,NORMAL
2026-05-02T19:36:34.197,0.319,-0.019,-0.945,-0.014,-0.022,-0.015,0.026,NORMAL
2026-05-02T19:36:34.696,0.335,-0.005,-0.947,0.0,-0.008,-0.018,0.026,NORMAL
2026-05-02T19:36:35.197,0.359,-0.003,-0.95,0.024,-0.004,-0.021,0.027,NORMAL
2026-05-02T19:36:35.697,0.333,-0.013,-0.933,-0.001,-0.012,-0.002,0.027,NORMAL
2026-05-02T19:36:36.196,0.317,-0.011,-0.967,-0.018,-0.011,-0.034,0.027,NORMAL
2026-05-02T19:36:36.697,0.331,0.001,-0.946,-0.004,-0.001,-0.013,0.027,NORMAL
2026-05-02T19:36:37.196,0.347,0.016,-0.96,0.012,0.014,-0.029,0.027,NORMAL
2026-05-02T19:36:37.696,0.353,0.004,-0.94,0.017,0.003,-0.008,0.026,NORMAL
